id	test class	otm	tloc	tmut	oms	oam	ams	imp	atm	inck	akm	time
1	PMExponentialDistributionTest	1	83	41	17.07	34	29.27	12.20	5	0.71	5	0:00:59
2	PMErrorMinimizerTest	1	17	3	66.67	1	66.67	0.00	0	0.00	0	0:00:14
3	PMBernoulliGeneratorTest	4	29	17	76.47	4	94.12	17.65	3	0.23	3	0:00:19
4	PMExponentialGeneratorTest	3	25	10	90.00	1	100.00	10.00	1	0.11	1	0:00:23
5	PMErrorAsParameterFunctionTest	4	40	20	65.00	7	70.00	5.00	1	0.08	1	0:00:27
6	PMPoissonGeneratorTest	4	35	10	90.00	1	90.00	0.00	1	0.00	0	0:01:40
7	PMFunctionFitTest	2	55	39	46.15	21	66.67	20.51	2	0.44	8	0:00:25
8	PMODESystemTest	4	12	5	60.00	2	80.00	20.00	1	0.33	1	0:06:02
9	PMGaussianGeneratorTest	1	27	22	86.36	3	95.45	9.09	2	0.11	2	0:02:04
10	PMSimpleParameterFunctionTest	4	57	26	88.46	3	96.15	7.69	2	0.09	2	0:00:27
11	PMKolmogorovsDistributionTest	3	51	74	78.38	16	78.38	0.00	0	0.00	0	0:00:17
12	PMSymmetricMatrixTest	3	218	78	66.67	26	78.21	11.54	7	0.17	9	0:02:23
13	PMAB2SolverTest	4	74	44	54.55	20	68.18	13.64	3	0.25	6	0:00:53
14	PMBinomialGeneratorTest	3	24	12	83.33	2	91.67	8.33	1	0.10	1	0:04:57
15	PMKolmogorovSmirnov1SampleTest	5	40	11	72.73	3	90.91	18.18	2	0.25	2	0:11:48
16	PMKolmogorovSmirnov2SampleTest	4	94	55	85.45	8	90.91	5.45	2	0.06	3	0:02:39
17	PMTSNETest	6	557	163	47.24	86	54.60	7.36	3	0.16	12	2:27:40
18	PMClusterFinderTest	3	77	29	79.31	6	86.21	6.90	2	0.09	2	0:07:32
19	PMAM4StepperTest	4	61	83	73.49	22	106.02	32.53	4	0.44	27	0:01:55
20	PMBDF3StepperTest	4	15	21	95.24	1	95.24	0.00	0	0.00	0	0:00:26
21	PMTrapezoidStepperTest	5	32	37	64.86	13	94.59	29.73	5	0.46	11	0:00:51
22	PMDecimalFloatingNumberTest	8	53	20	95.00	1	100.00	5.00	1	0.05	1	3:18:46
23	PMImplicitMidpointStepperTest	5	19	16	93.75	1	93.75	0.00	0	0.00	0	0:00:34
24	PMAB3StepperTest	4	21	37	86.49	5	94.59	8.11	1	0.09	3	0:01:21
25	PMAB4StepperTest	4	20	47	89.36	5	95.74	6.38	1	0.07	3	0:02:10
26	PMAM4SolverTest	3	102	82	63.41	30	68.29	4.88	1	0.08	4	0:01:14
27	PMBDF3SolverTest	3	101	82	64.63	29	64.63	0.00	0	0.00	0	0:01:57
28	PMAM3SolverTest	3	72	44	59.09	18	61.36	2.27	1	0.04	1	0:02:27
29	PMBDF2SolverTest	4	72	43	60.47	17	83.72	23.26	5	0.38	10	0:00:52
30	PMAB2StepperTest	4	20	23	69.57	7	91.30	21.74	2	0.31	5	0:01:52
31	PMBDF4StepperTest	4	17	24	95.83	1	100.00	4.17	0	0.04	1	0:01:28
32	PMBDF4SolverTest	3	148	102	65.69	35	71.57	5.88	2	0.09	6	0:01:11
33	PMErrorOfParameterFunctionTest	9	97	105	74.29	27	80.00	5.71	5	0.08	6	0:16:19
34	PMRungeKuttaStepperTest	6	22	25	96.00	1	96.00	0.00	0	0.00	0	0:03:08
35	PMHeunStepperTest	5	18	13	92.31	1	92.31	0.00	0	0.00	0	0:00:33
36	PMBDF2StepperTest	5	15	18	94.44	1	94.44	0.00	0	0.00	0	0:04:35
37	PMAB3SolverTest	4	103	86	56.98	37	63.95	6.98	3	0.12	6	0:03:20
38	PMAM3StepperTest	5	52	70	97.14	2	97.14	0.00	0	0.00	0	0:01:36
39	PMAB4SolverTest	3	148	108	69.44	33	69.44	0.00	0	0.00	0	0:01:19
40	PMFixpointTest	6	103	76	39.47	46	57.89	18.42	7	0.47	14	0:19:01
41	PMMidpointStepperTest	6	18	15	93.33	1	93.33	0.00	0	0.00	0	0:02:19
42	PMKDTreeTest	13	62	40	92.50	3	92.50	0.00	0	0.00	0	2:41:56
43	PMAnotherGeneticOptimizerTest	12	178	103	65.05	36	70.87	5.83	1	0.09	6	1:57:34
44	PMNNStoreTest	11	75	63	92.06	5	92.06	0.00	0	0.00	0	0:08:48
45	PMAnotherChromosomeManagerTest	11	181	123	68.29	39	95.12	26.83	4	0.39	33	0:24:46
46	PMPolynomialTest	21	168	134	82.84	23	88.81	5.97	8	0.07	8	0:10:57
47	PMSingularValueDecompositionTest	14	26	9	66.67	3	77.78	11.11	0	0.17	1	0:29:07
48	PMQuaternionTest	31	387	299	75.59	73	87.96	12.37	20	0.16	37	1:47:51
49	PMVectorTest	29	203	88	60.23	35	85.23	25.00	6	0.42	22	0:11:54
50	PMPermutationTest	20	237	99	93.94	6	93.94	0.00	0	0.00	0	0:33:12
51	PMAccuracyTest	24	416	257	81.32	48	84.44	3.11	6	0.04	8	0:45:17
52	PMDualNumberTest	30	153	119	94.12	7	97.48	3.36	4	0.04	4	0:42:05
53	PMComplexTest	52	454	354	74.01	92	97.18	23.16	24	0.31	82	0:55:22
54	PMHyperDualNumberTest	28	172	157	82.17	28	94.27	12.10	14	0.15	19	0:33:20
55	PMMatrixTest	55	654	301	40.86	178	78.07	37.21	28	0.91	112	1:57:46
